Entry	Gene Names	RefSeq
B8I2A5	nadA Ccel_3480	WP_015926820.1;
B8I2A8	rsmG Ccel_3484	WP_015926823.1;
B8I2A9	mnmG gidA Ccel_3485	WP_015926824.1;
B8I2B1	khpB eloR Ccel_3487	WP_015926826.1;
B8I2B4	rnpA Ccel_3490	WP_015926829.1;
B8I2B5	rpmH Ccel_3491	WP_004619013.1;
B8I2B6	gshA Ccel_1557	WP_015925049.1;
B8I2F6	Ccel_1597	WP_015925065.1;
B8I2G2	moaC Ccel_1603	
B8I2G5	Ccel_1606	WP_015925074.1;
B8I2K6	Ccel_1648	WP_015925115.1;
B8I2L6	Ccel_1658	WP_015925125.1;
B8I2L7	Ccel_1659	WP_015925126.1;
B8I2M8	Ccel_1670	WP_015925136.1;
B8I2N2	uxuA Ccel_1674	WP_015925140.1;
B8I2N4	uxaC Ccel_1676	
B8I2Q2	hfq Ccel_1694	WP_015925160.1;
B8I2Q4	mutL Ccel_1696	WP_015925162.1;
B8I2Q5	mutS Ccel_1697	WP_015925163.1;
B8I2R6	rpsO Ccel_1708	WP_015925174.1;
B8I2S1	Ccel_1713	WP_015925179.1;
B8I2S2	Ccel_1714	WP_015925180.1;
B8I2T7	cmk Ccel_1729	WP_015925195.1;
B8I2T8	Ccel_1730	WP_015925196.1;
B8I2U7	sigI Ccel_1739	WP_015925205.1;
B8I2V4	scpB Ccel_1746	WP_015925212.1;
B8I2V5	scpA Ccel_1747	WP_015925213.1;
B8I2V7	Ccel_1749	WP_015925215.1;
B8I2V8	Ccel_1750	WP_015925216.1;
B8I2V9	xerC Ccel_1751	WP_015925217.1;
B8I2W2	rnhA Ccel_1754	WP_015925220.1;
B8I2W3	proC Ccel_1755	WP_015925221.1;
B8I2W4	Ccel_1756	WP_015925222.1;
B8I2W5	Ccel_1757	WP_015925223.1;
B8I2X9	tmcAL Ccel_1771	WP_015925237.1;
B8I2Y0	rnj Ccel_1772	WP_015925238.1;
B8I2Y7	Ccel_1779	WP_015925245.1;
B8I2Z1	Ccel_1784	WP_015925249.1;
B8I2Z7	rpoZ Ccel_1790	WP_015925255.1;
B8I2Z8	gmk Ccel_1791	
B8I302	Ccel_1795	
B8I303	prmA Ccel_1796	WP_015925261.1;
B8I305	dnaK Ccel_1798	WP_015925263.1;
B8I306	grpE Ccel_1799	WP_015925264.1;
B8I316	Ccel_1809	WP_015925274.1;
B8I371	Ccel_1866	WP_015925319.1;
B8I378	fluC crcB Ccel_1873	WP_015925326.1;
B8I387	recG Ccel_1882	WP_015925335.1;
B8I388	rpmB Ccel_1883	WP_015925336.1;
B8I393	glgA Ccel_1888	WP_015925341.1;
B8I397	Ccel_1892	WP_015925345.1;
B8I399	Ccel_1894	WP_015925347.1;
B8I3A1	Ccel_1896	WP_015925349.1;
B8I3A2	argR Ccel_1897	WP_015925350.1;
B8I3A8	xseB Ccel_1903	WP_015925356.1;
B8I3A9	xseA Ccel_1904	WP_015925357.1;
B8I3B0	nusB Ccel_1905	WP_015925358.1;
B8I3C7	efp Ccel_1922	WP_015925374.1;
B8I3D1	Ccel_1926	WP_015925378.1;
B8I3D2	Ccel_1927	WP_015925379.1;
B8I3E4	Ccel_1939	WP_015925391.1;
B8I3F2	hisS Ccel_1947	WP_015925399.1;
B8I3F6	Ccel_1951	WP_015925403.1;
B8I3F7	apt Ccel_1952	WP_015925404.1;
B8I3G9	rqcH Ccel_1964	WP_015925416.1;
B8I3I4	rpsT Ccel_1979	WP_015925431.1;
B8I3I5	Ccel_1980	WP_015925432.1;
B8I3I7	Ccel_1982	WP_015925434.1;
B8I3J7	Ccel_1992	WP_015925444.1;
B8I3K0	Ccel_1995	WP_015925447.1;
B8I3K2	Ccel_1997	WP_015925449.1;
B8I3K7	ribH Ccel_2003	WP_015925454.1;
B8I3K9	Ccel_2005	WP_015925456.1;
B8I3L6	Ccel_2013	WP_015925461.1;
B8I3M0	Ccel_2017	WP_015925465.1;
B8I3M7	cheD Ccel_2024	WP_015925472.1;
B8I3N0	Ccel_2027	WP_015925475.1;
B8I3N3	Ccel_2030	WP_015925478.1;
B8I3N4	flhA Ccel_2031	WP_015925479.1;
B8I3N5	flhB Ccel_2032	WP_015925480.1;
B8I3N6	Ccel_2033	WP_015925481.1;
B8I3N7	fliQ Ccel_2034	WP_015925482.1;
B8I3N8	fliP Ccel_2035	WP_015925483.1;
B8I3P2	Ccel_2039	WP_015925487.1;
B8I3P3	Ccel_2040	WP_015925488.1;
B8I3Q0	Ccel_2047	WP_015925495.1;
B8I3Q1	Ccel_2048	WP_015925496.1;
B8I3Q3	Ccel_2050	
B8I3Q4	Ccel_2051	WP_015925499.1;
B8I3Q5	fliE Ccel_2052	WP_015925500.1;
B8I3Q7	Ccel_2054	WP_015925502.1;
B8I3R2	dnaA Ccel_0001	WP_012634456.1;
B8I3R3	Ccel_0002	WP_012634457.1;
B8I3R5	recF Ccel_0004	WP_012634459.1;
B8I3S2	Ccel_0011	WP_012634466.1;
B8I3S7	Ccel_0016	WP_012634471.1;
B8I3S9	fhs Ccel_0018	WP_012634473.1;
